Entity,Code,Year,GDP per capita (2011 international-$ (PPP-adjusted US$))
Albania,ALB,2014,10664.4194
Algeria,DZA,2014,12812.00242
Angola,AGO,2014,7967.857265
Anguilla,AIA,2014,27290.40966
Antigua and Barbuda,ATG,2014,21001.6037
Argentina,ARG,2014,20221.82932
Armenia,ARM,2014,8585.958301
Aruba,ABW,2014,37937.18404
Australia,AUS,2014,43070.61938
Austria,AUT,2014,47744.46085
Azerbaijan,AZE,2014,15886.86511
Bahamas,BHS,2014,23451.67473
Bahrain,BHR,2014,41626.12696
Bangladesh,BGD,2014,2884.936155
Barbados,BRB,2014,14219.74576
Belarus,BLR,2014,20290.34868
Belgium,BEL,2014,43667.88885
Belize,BLZ,2014,8393.210883
Benin,BEN,2014,1921.850253
Bermuda,BMU,2014,57530.84041
Bhutan,BTN,2014,6880.465731
Bolivia,BOL,2014,6012.765004
Bosnia and Herzegovina,BIH,2014,10027.5053
Botswana,BWA,2014,16175.24084
Brazil,BRA,2014,14870.58413
British Virgin Islands,VGB,2014,26975.64931
Brunei,BRN,2014,68498.55236
Bulgaria,BGR,2014,17461.62381
Burkina Faso,BFA,2014,1564.975396
Burundi,BDI,2014,772.4963947
Cambodia,KHM,2014,2995.467269
Cameroon,CMR,2014,2681.855361
Canada,CAN,2014,42351.85363
Cape Verde,CPV,2014,6289.86605
Cayman Islands,CYM,2014,51465.01869
Central African Republic,CAF,2014,594.2658167
Chad,TCD,2014,2012.768033
Chile,CHL,2014,21581.32562
China,CHN,2014,12472.51286
Colombia,COL,2014,12599.37903
Comoros,COM,2014,1460.043318
Congo,COG,2014,4426.34231
Costa Rica,CRI,2014,14185.77497
Cote d'Ivoire,CIV,2014,3352.45178
Croatia,HRV,2014,21674.99897
Curacao,CUW,2014,25964.74253
Cyprus,CYP,2014,28601.68955
Czech Republic,CZE,2014,31856.27454
Democratic Republic of Congo,COD,2014,1216.945512
Denmark,DNK,2014,44923.96513
Djibouti,DJI,2014,3200.369523
Dominica,DMA,2014,10188.28466
Dominican Republic,DOM,2014,12510.98996
Ecuador,ECU,2014,10968.09069
Egypt,EGY,2014,9908.813573
El Salvador,SLV,2014,7843.099152
Equatorial Guinea,GNQ,2014,40132.96244
Estonia,EST,2014,28537.81863
Ethiopia,ETH,2014,1323.106318
Fiji,FJI,2014,7908.71253
Finland,FIN,2014,40400.77019
France,FRA,2014,39374.27587
Gabon,GAB,2014,14160.93597
Gambia,GMB,2014,1544.453279
Georgia,GEO,2014,9361.660305
Germany,DEU,2014,45961.05459
Ghana,GHA,2014,3570.186712
Greece,GRC,2014,25990.46526
Grenada,GRD,2014,11155.28719
Guatemala,GTM,2014,6850.591156
Guinea,GIN,2014,1428.546421
Guinea-Bissau,GNB,2014,1251.005768
Haiti,HTI,2014,1562.357525
Honduras,HND,2014,4423.593799
Hong Kong,HKG,2014,51807.83511
Hungary,HUN,2014,25757.93939
Iceland,ISL,2014,42876.07863
India,IND,2014,5224.015425
Indonesia,IDN,2014,9706.621622
Iran,IRN,2014,15547.42891
Iraq,IRQ,2014,12095.62962
Ireland,IRL,2014,48766.61813
Israel,ISR,2014,33270.03865
Italy,ITA,2014,35806.5225
Jamaica,JAM,2014,7449.434873
Japan,JPN,2014,35358.45985
Jordan,JOR,2014,10455.80704
Kazakhstan,KAZ,2014,23450.32129
Kenya,KEN,2014,2768.738017
Kuwait,KWT,2014,63885.57183
Kyrgyzstan,KGZ,2014,3358.509258
Laos,LAO,2014,5543.686606
Latvia,LVA,2014,23678.89039
Lebanon,LBN,2014,13999.41667
Lesotho,LSO,2014,2409.163714
Liberia,LBR,2014,837.7125221
Lithuania,LTU,2014,28207.55307
Luxembourg,LUX,2014,95175.72409
Macao,MAC,2014,126980.02
Macedonia,MKD,2014,13150.62858
Madagascar,MDG,2014,1237.4249
Malawi,MWI,2014,949.0280079
Malaysia,MYS,2014,23158.05404
Maldives,MDV,2014,14390.70987
Mali,MLI,2014,1433.536349
Malta,MLT,2014,31643.69877
Mauritania,MRT,2014,3409.084021
Mauritius,MUS,2014,17942.04141
Mexico,MEX,2014,15852.57144
Moldova,MDA,2014,4811.061772
Mongolia,MNG,2014,11526.45867
Montenegro,MNE,2014,14566.88029
