Entity,Code,Year,GINI index (World Bank estimate) (%)
Armenia,ARM,2015,32.4
Belarus,BLR,2015,26.7
Benin,BEN,2015,47.8
Bolivia,BOL,2015,45.8
Brazil,BRA,2015,51.3
Chile,CHL,2015,47.7
Colombia,COL,2015,51.1
Costa Rica,CRI,2015,48.2
Cote d'Ivoire,CIV,2015,41.7
Dominican Republic,DOM,2015,44.9
Ecuador,ECU,2015,46.5
Egypt,EGY,2015,31.8
El Salvador,SLV,2015,40.8
Georgia,GEO,2015,38.5
Honduras,HND,2015,50.1
Kazakhstan,KAZ,2015,26.5
Kyrgyzstan,KGZ,2015,29
Macedonia,MKD,2015,35.6
Moldova,MDA,2015,27
Myanmar,MMR,2015,38.1
Panama,PAN,2015,51
Paraguay,PRY,2015,48
Peru,PER,2015,44.3
Philippines,PHL,2015,40.1
Russia,RUS,2015,37.7
Tajikistan,TJK,2015,34
Togo,TGO,2015,43
Ukraine,UKR,2015,25.5
Uruguay,URY,2015,41.7
Zambia,ZMB,2015,57.1
Argentina,ARG,2014,42.7
Armenia,ARM,2014,31.5
Austria,AUT,2014,30.5
Belarus,BLR,2014,27.2
Belgium,BEL,2014,28.1
Bolivia,BOL,2014,48.4
Brazil,BRA,2014,51.5
Bulgaria,BGR,2014,37.4
Burkina Faso,BFA,2014,35.3
Cameroon,CMR,2014,46.5
Colombia,COL,2014,53.5
Costa Rica,CRI,2014,48.5
Croatia,HRV,2014,32.2
Cyprus,CYP,2014,35.6
Czech Republic,CZE,2014,25.9
Denmark,DNK,2014,28.5
Dominican Republic,DOM,2014,44.5
Ecuador,ECU,2014,45.4
El Salvador,SLV,2014,41.8
Estonia,EST,2014,34.6
Finland,FIN,2014,26.8
France,FRA,2014,32.3
Georgia,GEO,2014,40.1
Greece,GRC,2014,35.8
Guatemala,GTM,2014,48.7
Honduras,HND,2014,51
Hungary,HUN,2014,30.9
Iceland,ISL,2014,25.6
Iran,IRN,2014,38.8
Ireland,IRL,2014,31.9
Italy,ITA,2014,34.7
Kazakhstan,KAZ,2014,26.5
Kyrgyzstan,KGZ,2014,26.8
Latvia,LVA,2014,35.1
Liberia,LBR,2014,33.2
Lithuania,LTU,2014,37.7
Luxembourg,LUX,2014,31.2
Macedonia,MKD,2014,36.9
Mauritania,MRT,2014,32.4
Mexico,MEX,2014,48.2
Moldova,MDA,2014,26.8
Mongolia,MNG,2014,32
Montenegro,MNE,2014,31.9
Netherlands,NLD,2014,28.6
Nicaragua,NIC,2014,46.6
Niger,NER,2014,34
Norway,NOR,2014,26.8
Panama,PAN,2014,50.7
Paraguay,PRY,2014,51.7
Peru,PER,2014,44.1
Poland,POL,2014,32.1
Portugal,PRT,2014,35.6
Russia,RUS,2014,39.9
Slovakia,SVK,2014,26.1
Slovenia,SVN,2014,25.7
Spain,ESP,2014,36
Sweden,SWE,2014,27.2
Tajikistan,TJK,2014,30.8
Turkey,TUR,2014,41.2
Ukraine,UKR,2014,24.1
United Kingdom,GBR,2014,34.1
Uruguay,URY,2014,41.6
Vietnam,VNM,2014,34.8
Yemen,YEM,2014,36.7
Argentina,ARG,2013,42.3
Armenia,ARM,2013,31.5
Austria,AUT,2013,30.9
Belarus,BLR,2013,26.6
Belgium,BEL,2013,27.7
Bolivia,BOL,2013,48.1
Brazil,BRA,2013,52.9
Bulgaria,BGR,2013,36.6
Burundi,BDI,2013,39.2
Canada,CAN,2013,34
Chile,CHL,2013,47.3
Colombia,COL,2013,53.5
Comoros,COM,2013,45
Costa Rica,CRI,2013,49.2
Croatia,HRV,2013,32
Cyprus,CYP,2013,37
Czech Republic,CZE,2013,26.5
Denmark,DNK,2013,28.5
Djibouti,DJI,2013,44.1
Dominican Republic,DOM,2013,47.1
Ecuador,ECU,2013,47.3
El Salvador,SLV,2013,43.5
Estonia,EST,2013,35.1
Fiji,FJI,2013,36.4
Finland,FIN,2013,27.2
France,FRA,2013,32.5
Georgia,GEO,2013,40
Germany,DEU,2013,31.4
Greece,GRC,2013,36.1
Honduras,HND,2013,53.7
Hungary,HUN,2013,31.5
Iceland,ISL,2013,25.4
Indonesia,IDN,2013,39.5
Iran,IRN,2013,37.4
Ireland,IRL,2013,33.4
Italy,ITA,2013,34.9
Kazakhstan,KAZ,2013,26.3
Kosovo,OWID_KOS,2013,26.7
Kyrgyzstan,KGZ,2013,28.8
Latvia,LVA,2013,35.5
Lithuania,LTU,2013,35.3
Luxembourg,LUX,2013,32
Macedonia,MKD,2013,38.5
Micronesia (country),FSM,2013,40.1
Moldova,MDA,2013,28.5
Montenegro,MNE,2013,32.3
Netherlands,NLD,2013,28.1
Norway,NOR,2013,26.4
Pakistan,PAK,2013,30.7
Panama,PAN,2013,51.7
Paraguay,PRY,2013,48.3
Peru,PER,2013,44.7
Poland,POL,2013,32.5
Portugal,PRT,2013,36.2
Romania,ROU,2013,27.5
Russia,RUS,2013,40.9
Rwanda,RWA,2013,50.4
Serbia,SRB,2013,29.1
Seychelles,SYC,2013,46.8
Slovakia,SVK,2013,28.1
Slovenia,SVN,2013,26.2
Solomon Islands,SLB,2013,37
Spain,ESP,2013,36.2
Sweden,SWE,2013,27.7
Switzerland,CHE,2013,32.5
Tajikistan,TJK,2013,30.4
Thailand,THA,2013,37.8
Turkey,TUR,2013,40.2
Ukraine,UKR,2013,24.5
United Kingdom,GBR,2013,33.2
United States,USA,2013,41
Uruguay,URY,2013,41.9
Albania,ALB,2012,29
Argentina,ARG,2012,42.5
Armenia,ARM,2012,30.5
Austria,AUT,2012,31.1
Belarus,BLR,2012,26.5
Belgium,BEL,2012,27.5
Bhutan,BTN,2012,38.8
Bolivia,BOL,2012,46.7
Brazil,BRA,2012,52.7
Bulgaria,BGR,2012,36
China,CHN,2012,42.2
Colombia,COL,2012,53.5
Costa Rica,CRI,2012,48.6
Croatia,HRV,2012,32.5
Cyprus,CYP,2012,34.3
Czech Republic,CZE,2012,26.1
Democratic Republic of Congo,COD,2012,42.1
Denmark,DNK,2012,27.8
Djibouti,DJI,2012,45.1
Dominican Republic,DOM,2012,45.7
Ecuador,ECU,2012,46.6
Egypt,EGY,2012,29.8
El Salvador,SLV,2012,41.8
Estonia,EST,2012,32.9
Finland,FIN,2012,27.1
France,FRA,2012,33
Georgia,GEO,2012,41.3
Ghana,GHA,2012,42.2
Greece,GRC,2012,36.3
Guinea,GIN,2012,33.7
Haiti,HTI,2012,40.9
Honduras,HND,2012,57.4
Hungary,HUN,2012,30.5
Iceland,ISL,2012,26.8
Iraq,IRQ,2012,29.5
Ireland,IRL,2012,32.5
Israel,ISR,2012,41.4
Italy,ITA,2012,34.9
Kazakhstan,KAZ,2012,27.5
Kosovo,OWID_KOS,2012,29.4
Kyrgyzstan,KGZ,2012,27.4
Laos,LAO,2012,36.4
Latvia,LVA,2012,35.2
Lithuania,LTU,2012,35.1
Luxembourg,LUX,2012,34.3
Macedonia,MKD,2012,40.1
Madagascar,MDG,2012,42.7
Mauritius,MUS,2012,35.8
Mexico,MEX,2012,48.1
Moldova,MDA,2012,29.2
Mongolia,MNG,2012,33.8
Montenegro,MNE,2012,32.2
Netherlands,NLD,2012,27.6
Norway,NOR,2012,25.7
Panama,PAN,2012,51.9
Paraguay,PRY,2012,48.2
Peru,PER,2012,45.1
Philippines,PHL,2012,42.2
Poland,POL,2012,32.4
Portugal,PRT,2012,36
Romania,ROU,2012,27.3
Russia,RUS,2012,40.7
Slovakia,SVK,2012,26.1
Slovenia,SVN,2012,25.6
South Korea,KOR,2012,31.6
Spain,ESP,2012,35.4
Sri Lanka,LKA,2012,39.2
Sweden,SWE,2012,27.1
